,AAA,BBB,CCC,DDD,EEE
0,8792.0,1200.0,5000.0,9999.0,12000.0
1,8791.34,1200.04,4998.83,9999.45,11999.66
2,8791.58,1200.19,4998.17,9997.68,11999.9
3,8792.03,1200.37,4998.26,9998.29,12000.01
4,8792.25,1200.39,4998.72,9998.06,11998.65
5,8793.62,1200.49,4999.11,9997.75,11999.59
6,8793.28,1200.52,4999.23,9997.53,11996.33
7,8792.81,1200.64,4999.28,9997.28,11997.0
8,8794.11,1200.85,4998.48,9997.3,12001.21
9,8794.49,1200.91,4997.82,9996.79,12001.71
10,8793.92,1200.94,4998.27,9998.42,12002.56
11,8795.88,1200.89,4997.09,9998.09,12001.73
12,8795.93,1200.87,4997.39,9998.59,12001.52
13,8795.38,1200.9,4998.19,9999.38,12001.54
14,8795.88,1200.99,4998.62,9998.44,12004.1
15,8793.86,1201.01,4998.79,9999.0,12006.35
16,8793.16,1200.91,4999.26,9998.45,12005.35
17,8790.88,1200.76,4999.46,9997.44,12006.03
18,8790.79,1200.76,4999.23,9998.94,12009.75
19,8791.64,1201.03,4999.5,9996.81,12009.32
20,8791.62,1201.02,4999.6,9996.36,12008.75
21,8791.02,1201.03,4999.76,9995.94,12008.64
22,8791.32,1201.01,5000.0,9995.59,12007.27
23,8792.19,1201.16,4999.76,9995.38,12007.5
24,8792.55,1201.28,4999.79,9995.61,12009.99
25,8794.17,1201.24,4999.76,9996.13,12011.84
26,8795.84,1201.3,5000.34,9992.02,12012.75
27,8796.98,1201.34,4999.86,9992.58,12014.62
28,8797.51,1201.46,4999.99,9991.59,12015.78
29,8797.91,1201.64,5000.49,9992.82,12014.6
30,8797.26,1201.74,5000.37,9991.08,12014.28
31,8797.51,1201.77,4999.95,9992.15,12013.26
32,8796.96,1201.82,4999.46,9991.22,12012.31
33,8797.1,1201.85,4999.83,9992.17,12010.74
34,8797.59,1202.06,5000.69,9993.03,12011.18
35,8796.51,1201.97,5000.38,9993.76,12010.84
36,8795.12,1201.82,5000.96,9993.54,12009.14
37,8795.93,1201.71,5002.01,9993.46,12008.35
38,8793.76,1201.73,5002.88,9993.66,12008.33
39,8794.44,1201.7,5003.99,9993.42,12008.43
40,8794.38,1201.58,5003.06,9994.33,12007.97
41,8792.85,1201.92,5002.8,9993.3,12009.56
42,8793.55,1202.08,5002.36,9990.05,12008.15
43,8793.5,1202.06,5002.59,9989.51,12007.39
44,8793.95,1201.95,5002.37,9990.08,12007.64
45,8794.24,1201.86,5002.47,9989.09,12004.23
46,8796.42,1201.74,5002.35,9990.16,12004.67
47,8795.9,1201.87,5002.95,9987.93,12005.65
48,8796.03,1201.9,5002.87,9986.87,12005.52
49,8795.03,1201.77,5003.4,9985.59,12006.76
50,8795.59,1201.83,5003.38,9984.28,12008.93
51,8795.41,1202.12,5003.06,9983.97,12008.24
52,8795.27,1202.16,5002.43,9986.7,12008.0
53,8794.77,1202.25,5002.48,9986.87,12010.08
54,8794.54,1202.35,5002.77,9987.34,12008.97
55,8794.88,1202.27,5003.04,9987.1,12008.95
56,8795.94,1202.21,5003.24,9986.54,12009.01
57,8795.54,1202.23,5003.68,9984.52,12010.66
58,8795.23,1202.07,5003.63,9986.16,12008.34
59,8795.26,1201.9,5003.61,9986.49,12007.78
60,8796.33,1201.93,5004.87,9985.19,12009.62
61,8797.41,1201.69,5004.49,9986.66,12010.24
62,8796.6,1201.65,5004.99,9986.42,12008.39
63,8797.91,1201.74,5005.6,9988.56,12008.89
64,8798.73,1201.73,5006.1,9990.01,12008.6
65,8800.62,1201.88,5006.56,9991.25,12008.31
66,8798.25,1201.93,5007.1,9991.95,12008.85
67,8797.52,1201.77,5006.67,9992.53,12007.37
68,8796.92,1201.62,5007.22,9994.43,12008.4
69,8796.05,1201.79,5007.85,9992.49,12009.2
70,8795.84,1201.56,5007.03,9991.28,12008.55
71,8796.01,1201.72,5006.4,9993.59,12009.32
72,8797.33,1201.76,5005.62,9994.88,12009.78
73,8796.75,1202.11,5005.94,9993.67,12010.8
74,8795.19,1202.24,5005.28,9993.99,12012.89
75,8796.26,1202.3,5005.78,9992.67,12013.82
76,8798.24,1202.49,5005.54,9993.57,12013.77
77,8798.41,1202.59,5005.15,9990.71,12011.74
78,8798.56,1202.74,5005.94,9992.53,12013.47
79,8798.42,1202.59,5005.89,9991.84,12012.64
80,8799.91,1202.49,5006.13,9990.87,12011.32
81,8799.46,1202.43,5005.56,9990.96,12011.38
82,8798.29,1202.34,5005.06,9991.4,12010.3
83,8798.08,1202.45,5005.44,9992.26,12010.05
84,8797.95,1202.46,5006.12,9993.13,12010.74
85,8799.13,1202.37,5005.87,9993.43,12011.68
86,8798.2,1202.21,5004.75,9993.3,12008.98
87,8798.07,1202.31,5004.26,9993.97,12010.74
88,8798.26,1202.27,5004.18,9992.83,12010.6
89,8797.41,1202.42,5004.0,9992.87,12009.26
90,8796.52,1202.4,5004.25,9992.19,12010.25
91,8795.37,1202.37,5003.98,9991.07,12010.56
92,8793.64,1202.25,5003.96,9992.63,12009.0
93,8793.41,1202.39,5005.08,9994.57,12007.52
94,8792.3,1202.24,5005.03,9995.65,12008.88
95,8792.64,1202.16,5004.83,9995.89,12008.83
96,8791.89,1202.27,5004.77,9996.69,12007.85
97,8791.32,1202.11,5005.05,9997.98,12006.94
98,8791.38,1201.97,5005.34,9996.78,12005.4
99,8791.9,1202.01,5005.48,9997.65,12004.29
100,8792.8,1202.07,5005.97,9996.67,12004.23
101,8792.01,1202.09,5005.83,9996.75,12004.12
102,8793.64,1202.03,5005.2,9998.63,12003.2
103,8794.22,1202.06,5005.03,9998.61,12004.05
104,8795.44,1202.28,5005.28,9998.3,12005.25
105,8795.43,1202.06,5005.03,9997.6,12006.6
106,8795.29,1202.13,5005.39,9996.67,12005.17
107,8795.75,1202.01,5005.36,9996.82,12008.3
108,8795.79,1202.02,5005.34,9995.54,12007.31
109,8794.95,1202.17,5005.4,9996.58,12006.42
110,8795.68,1202.27,5005.59,9997.64,12005.93
111,8794.95,1202.08,5005.99,9997.64,12006.17
112,8795.04,1202.01,5006.02,9997.74,12006.45
113,8794.78,1202.15,5006.46,9997.55,12006.94
114,8795.27,1202.32,5006.96,9997.33,12008.54
115,8794.2,1202.27,5007.6,9997.37,12007.86
116,8795.81,1202.34,5007.41,9997.87,12008.61
117,8797.33,1202.47,5007.86,9997.81,12010.84
118,8796.94,1202.47,5008.47,9997.46,12009.92
119,8797.3,1202.56,5008.83,9997.96,12010.25
120,8797.67,1202.77,5009.27,9998.62,12011.01
121,8798.04,1202.98,5009.7,9998.91,12011.64
122,8798.55,1203.09,5010.11,9997.58,12010.5
123,8799.57,1203.35,5010.18,9998.42,12012.33
124,8798.16,1203.46,5010.4,9999.0,12010.53
125,8797.75,1203.53,5010.79,9996.51,12011.01
126,8798.82,1203.54,5010.61,9996.93,12009.93
127,8797.07,1203.59,5010.89,9995.95,12008.84
128,8797.19,1203.71,5010.38,9997.08,12007.68
129,8796.37,1203.62,5010.71,9996.24,12008.77
130,8796.64,1203.8,5009.94,9995.67,12009.35
131,8798.21,1203.9,5009.18,9997.14,12010.48
132,8798.45,1203.94,5008.69,9996.39,12008.63
133,8798.33,1203.68,5007.62,9994.82,12008.44
134,8798.89,1203.74,5008.06,9995.59,12009.78
135,8799.83,1203.51,5007.89,9995.6,12010.59
136,8800.41,1203.3,5008.17,9994.75,12012.54
137,8800.1,1203.22,5008.58,9994.5,12009.61
138,8800.41,1203.14,5008.85,9994.03,12010.97
139,8799.34,1203.03,5008.66,9993.86,12012.46
140,8797.58,1203.15,5009.24,9996.04,12012.55
141,8798.19,1203.24,5009.34,9996.8,12010.48
142,8797.89,1203.12,5010.53,9995.69,12012.75
143,8797.99,1203.03,5010.59,9995.39,12012.29
144,8798.21,1203.11,5010.32,9992.75,12012.11
145,8797.41,1203.37,5010.54,9991.57,12010.22
146,8797.85,1203.56,5010.03,9992.11,12009.34
147,8796.61,1203.63,5009.86,9991.74,12010.53
148,8797.0,1203.57,5009.9,9991.66,12010.59
149,8795.52,1203.54,5009.43,9990.41,12010.83
150,8796.02,1203.51,5009.03,9990.92,12011.57
151,8796.04,1203.4,5008.95,9990.01,12011.86
152,8794.57,1203.44,5007.93,9990.12,12010.78
153,8794.84,1203.29,5008.09,9990.84,12010.86
154,8795.74,1203.47,5008.01,9991.29,12010.85
155,8794.6,1203.44,5007.91,9991.68,12010.09
156,8794.99,1203.52,5008.2,9991.56,12010.71
157,8795.34,1203.44,5008.4,9989.84,12011.09
158,8796.6,1203.48,5008.33,9990.23,12011.5
159,8796.83,1203.51,5007.27,9991.37,12012.09
